X,Y,fid,icon_url
-48.476411072536,-27.6475723304533,1,./0.png
-48.4886922095272,-27.6850491790458,2,./0.png
-48.4957172081097,-27.6799029441605,3,./0.png
-48.4961397662567,-27.6794996462133,4,./0.png
-48.4962897337349,-27.6794121517232,5,./0.png
-48.4970317514866,-27.6781268075191,6,./0.png
-48.4973172592601,-27.677941248528,7,./0.png
-48.4976076395838,-27.677761788273,8,./0.png
-48.5021444554769,-27.6741738696719,9,./0.png
-48.5039811067617,-27.6718415658915,10,./0.png
-48.4773973913857,-27.6480681667341,11,./0.png
-48.4783897917371,-27.627938773081,12,./0.png
-48.5095085222923,-27.6790459477253,13,./0.png
-48.5002312921331,-27.6767195409183,14,./0.png
-48.4991617145402,-27.5989103730437,15,./0.png
-48.4990303690652,-27.5974224482128,16,./0.png
